id,source,url,title,organization,salary_from,salary_to,salary_currency,salary_raw,published_at,published_raw,region,experience,employment_type,description,extra_info,is_archive,archive_timestamp,scraped_at
31,profiminer.ru,https://profiminer.ru/vacancy/4873/,Машинист бульдозера,confidential,,,RUB,,2025-07-22T13:54:02+03:00,2025-07-22T13:54:02+03:00,Билибино,,,"Вскрышные работы до ноября - декабря 2025 года; Техническое обслуживание, непосредственное участие в аварийном и плановом ремонтах.",,0,,2026-09-08T16:04:35.998952
32,profiminer.ru,https://profiminer.ru/vacancy/4872/,Бурильщик шпуров,confidential,425000.0,500000.0,RUB,,2025-07-22T13:51:19+03:00,2025-07-22T13:51:19+03:00,Билибино,,,Проходка горных выработок Бурение шпуров на СБУ в горизонтальных и наклонных выработках,,0,,2026-09-08T16:04:41.293777
33,profiminer.ru,https://profiminer.ru/vacancy/4871/,Помощник машиниста буровой установки DE-110/DE-140/C-600,confidential,200000.0,,RUB,,2025-07-22T13:46:51+03:00,2025-07-22T13:46:51+03:00,Билибино,,,Проведение буровых работ,,0,,2026-09-08T16:04:46.696036
34,profiminer.ru,https://profiminer.ru/vacancy/4870/,Машинист буровой установки DE-110/DE-140/C-600,confidential,250000.0,,RUB,,2025-07-22T13:44:26+03:00,2025-07-22T13:44:26+03:00,Билибино,,,Работа на установке колонкового бурения Бурение поисковых и эксплуатационных скважин с отбором керна комплексами ССК,,0,,2026-09-08T16:04:48.545014
35,profiminer.ru,https://profiminer.ru/vacancy/4869/,Машинист буровой установки (Christensen CS-14),confidential,230000.0,,RUB,,2025-07-22T13:42:00+03:00,2025-07-22T13:42:00+03:00,Билибино,,,"Работа на установке колонкового бурения Christensen CS-14, диаметр бурения hq, глубина бурения до 500м",,0,,2026-09-08T16:04:50.368387
36,profiminer.ru,https://profiminer.ru/vacancy/4868/,Машинист буровой установки (колонковое поверхностное бурение),confidential,230000.0,,RUB,,2025-07-22T13:38:40+03:00,2025-07-22T13:38:40+03:00,Билибино,,,"Работа на установке колонкового бурения Christensen CS-14, диаметр бурения hq, глубина бурения до 500м",,0,,2026-09-08T16:04:56.510969
37,profiminer.ru,https://profiminer.ru/vacancy/4867/,Машинист ПДМ,confidential,,,RUB,,2025-07-22T13:36:01+03:00,2025-07-22T13:36:01+03:00,Билибино,,,"Управление погрузочно-доставочными машинами при проходке горных выработок, на очистных работах Орошение, погрузка, транспортировка и разгрузка горной массы в а/самосвалы, рудоспуск и вагоны Работа на ПДМ (ПСМ) типа Toro-151, ST-710, LH-307; ПСМ EJC-417, RAUS PMKT 10000",,0,,2026-09-08T16:04:58.558965
38,profiminer.ru,https://profiminer.ru/vacancy/4866/,Машинист буровой установки СБУ,confidential,350000.0,500000.0,RUB,,2025-07-22T13:33:31+03:00,2025-07-22T13:33:31+03:00,Билибино,,,Прoходка горныx выpaбoток Бурeниe шпуpов нa CБУ Вoomеr 281 в гоpизонтaльныx и наклонных выpаботкaх,,0,,2026-09-08T16:05:02.206504
39,profiminer.ru,https://profiminer.ru/vacancy/4865/,Машинист бульдозера,confidential,200000.0,,RUB,,2025-07-22T13:28:41+03:00,2025-07-22T13:28:41+03:00,Билибино,,,"Перемещение горной массы Техническое обслуживание, непосредственное участие в аварийном и плановом ремонтах",,0,,2026-09-08T16:05:04.840521
40,profiminer.ru,https://profiminer.ru/vacancy/4864/,Помощник машиниста буровой установки (Christensen CS-14),confidential,172500.0,,RUB,,2025-07-22T13:25:57+03:00,2025-07-22T13:25:57+03:00,Билибино,,,"Бурение вертикальных, наклонных скважин в карьере, буровая установка (Christensen CS-14)",,0,,2026-09-08T16:05:07.685113
41,profiminer.ru,https://profiminer.ru/vacancy/4863/,Машинист крана короткобазного,confidential,253000.0,253000.0,RUB,,2025-07-22T13:18:31+03:00,2025-07-22T13:18:31+03:00,Билибино,,,"Выполнение погрузо-разгрузочных работ на объектах производства Работа на TADANO 65t, XCMG 55 LS5",,0,,2026-09-08T16:05:12.584152
42,profiminer.ru,https://profiminer.ru/vacancy/4854/,Контролер ОТК,confidential,165000.0,165000.0,RUB,,2025-07-16T18:01:47+03:00,2025-07-16T18:01:47+03:00,Билибино,,,Осуществление качественного и своевременного отбора проб Ситовый анализ продуктов,,0,,2026-09-08T16:05:16.617291
43,profiminer.ru,https://profiminer.ru/vacancy/4853/,Контролер ОТК,confidential,140000.0,145000.0,RUB,,2025-07-16T17:56:38+03:00,2025-07-16T17:56:38+03:00,Билибино,,,Осуществление качественного и своевременного отбора проб Ситовый анализ продуктов,,0,,2026-09-08T16:05:21.061407
44,profiminer.ru,https://profiminer.ru/vacancy/4852/,Кладовщик,confidential,170000.0,170000.0,RUB,,2025-07-16T17:41:52+03:00,2025-07-16T17:41:52+03:00,Билибино,,,Работа на складе Соблюдение техники безопасности Размещение ТМЦ по складу,,0,,2026-09-08T16:05:24.508155
45,profiminer.ru,https://profiminer.ru/vacancy/4850/,Кладовщик (на инвентаризацию),confidential,174000.0,,RUB,,2025-07-16T17:38:35+03:00,2025-07-16T17:38:35+03:00,Билибино,,,"Работа с программой 1С, Excel Учёт ТМЦ, инвентаризация, оформление документов; Контроль расхода и движения ТМЦ по складу и подразделениям; Работа с каталогом запасных частей для оборудования и специализированной техники (золотодобыча); Контроль заявок различных подразделений на покупку ТМЦ; Анализ неликвидных складских остатков.",,0,,2026-09-08T16:05:30.270166
46,profiminer.ru,https://profiminer.ru/vacancy/4849/,Заместитель начальника ПТО,confidential,,,RUB,,2025-07-16T17:32:22+03:00,2025-07-16T17:32:22+03:00,Билибино,,,"Руководство ПТО и диспетчерской службой АО; Участие в создании среднесрочной и долгосрочной модели развития Рудника. Актуализация этой модели основанная на данных геолого-маркшейдерского замера и краткосрочного планирования; Участие в разработке планов развития горных работ на будущие периоды; Подготовка графических и табличных данных к месячному рассмотрению производственной программы; Подготовка эксплуатационных контуров, краткосрочных графиков работы бурового оборудования, графиков ведения очистных работ, график работ по Россыпному участку.",,0,,2026-09-08T16:05:32.538554
